,strain,image_name,patch_index,patch_centroid_x_nm,patch_centroid_y_nm,patch_area_nm2,patch_circularity
61,WT,MG_C3_save-2025.07.21-15.52.28.580,6,162.6414512215527,420.7938524933061,831.1271667480429,0.8366825747040247
62,WT,MG_C3_save-2025.07.21-15.52.28.580,7,416.9914273812994,85.39097465460196,816.8220520019491,0.8105525867029637
63,WT,MG_C3_save-2025.07.21-15.52.28.580,8,330.6917842741932,275.7652889784943,739.0975952148408,0.8419639093330558
64,WT,MG_C3_save-2025.07.21-15.52.28.580,9,184.34773029357348,142.0765249364307,687.5991821289048,0.7995810528576566
65,WT,MG_C3_save-2025.07.21-15.52.28.580,10,294.423421223958,56.40157063802076,610.3515624999992,0.8399956294610778
66,WT,MG_C3_save-2025.07.21-15.52.28.580,11,130.44433593749986,456.8164062499995,572.2045898437494,0.7544955280445418
67,WT,MG_C3_save-2025.07.21-15.52.28.580,12,318.6962182971011,376.06997282608654,548.3627319335925,0.8100618913452601
68,WT,MG_C3_save-2025.07.21-15.52.28.580,13,264.0632988241306,236.92125191717759,544.0711975097643,0.7934976773653439
69,WT,MG_C3_save-2025.07.21-15.52.28.580,14,140.69038971125715,218.0487024853799,543.5943603515606,0.7814334399982504
70,WT,MG_C3_save-2025.07.21-15.52.28.580,15,351.97400746855305,425.80581761006243,505.4473876953101,0.7570026331363239
71,WT,MG_C3_save-2025.07.21-15.52.28.580,16,417.54278273809473,206.95684523809499,500.6790161132781,0.7725641253959952
72,WT,MG_C3_save-2025.07.21-15.52.28.580,17,336.46116394927503,36.123377113526516,493.526458740233,0.7642343230479036
73,WT,MG_C3_save-2025.07.21-15.52.28.580,18,349.1883722571793,476.2190172232972,492.5727844238262,0.7651496881402626
74,WT,MG_C3_save-2025.07.21-15.52.28.580,19,247.12498982747363,123.14732869466131,488.28124999999966,0.7719261066116154
75,WT,MG_C3_save-2025.07.21-15.52.28.580,20,186.8541035519843,226.86469584211423,452.51846313476483,0.7316979052701893
76,WT,MG_C3_save-2025.07.21-15.52.28.580,21,95.96127298926424,416.62610546462474,451.5647888183573,0.7445095616639997
77,WT,MG_C3_save-2025.07.21-15.52.28.580,22,90.23213966380533,117.16514663805424,444.41223144531136,0.7731798911907649
78,WT,MG_C3_save-2025.07.21-15.52.28.580,23,150.4722798322083,159.30638064773134,423.9082336425772,0.760643496069022
79,WT,MG_C3_save-2025.07.21-15.52.28.580,24,191.23037618483391,408.5625863941545,402.45056152343705,0.7404309993957612
80,WT,MG_C3_save-2025.07.21-15.52.28.580,25,107.49937996031734,471.30766369047575,400.5432128906226,0.7730133331889192
81,WT,MG_C3_save-2025.07.21-15.52.28.580,26,110.13187602627247,192.42771192528713,387.1917724609367,0.7261767220279793
82,WT,MG_C3_save-2025.07.21-15.52.28.580,27,214.7111304012343,259.00366512345647,386.2380981445311,0.713726096561435
83,WT,MG_C3_save-2025.07.21-15.52.28.580,28,462.02525525990046,66.6532107312293,385.2844238281234,0.7500684783994499
84,WT,MG_C3_save-2025.07.21-15.52.28.580,29,229.02576958955189,283.0573694029847,383.3770751953113,0.7622514161649773
85,WT,MG_C3_save-2025.07.21-15.52.28.580,30,436.4138400335004,119.58228643216067,379.56237792968557,0.761382157952528
86,WT,MG_C3_save-2025.07.21-15.52.28.580,31,218.78417760349953,227.32857847844616,372.4098205566387,0.7437244849775663
87,WT,MG_C3_save-2025.07.21-15.52.28.580,32,86.30519357287437,198.54135037111988,353.3363342285152,0.702296478356744
88,WT,MG_C3_save-2025.07.21-15.52.28.580,33,130.73713299929662,264.12787886779154,339.03121948242153,0.7262393721154934
89,WT,MG_C3_save-2025.07.21-15.52.28.580,34,96.58381492579899,151.8822238869861,278.47290039062443,0.6460646750430838
90,WT,MG1_C1_save-2025.10.02-12.14.40.128,0,73.55542885892234,82.04278352503079,2705.0971984863236,0.5558643717593248
91,WT,MG1_C1_save-2025.10.02-12.14.40.128,1,170.80272377938505,148.56199847423136,2636.909484863278,0.5633457430047494
92,WT,MG1_C1_save-2025.10.02-12.14.40.128,2,174.7973072705802,437.7449972587718,2355.5755615234343,0.5917774560620932
93,WT,MG1_C1_save-2025.10.02-12.14.40.128,3,285.1317697747288,250.60730072361477,2111.4349365234348,0.7184902359372353
94,WT,MG1_C1_save-2025.10.02-12.14.40.128,4,107.11089294726212,254.0339777052316,1889.7056579589832,0.6148470281563946
95,WT,MG1_C1_save-2025.10.02-12.14.40.128,5,61.54300193967442,388.6977280095695,1777.1720886230441,0.7014039941531484
96,WT,MG1_C1_save-2025.10.02-12.14.40.128,6,252.14423489380437,422.43275105499885,1713.7527465820312,0.7719032112309153
97,WT,MG1_C1_save-2025.10.02-12.14.40.128,7,62.46796461640208,277.93400898869623,1652.240753173825,0.6810035401566115
98,WT,MG1_C1_save-2025.10.02-12.14.40.128,8,103.51134808394153,383.0896441605837,1633.167266845699,0.5501890861569605
99,WT,MG1_C1_save-2025.10.02-12.14.40.128,9,228.29219058185387,170.0823882314266,1450.5386352539062,0.7429514671031903
100,WT,MG1_C1_save-2025.10.02-12.14.40.128,10,314.8695227337921,357.9815915447502,1385.2119445800759,0.7667539073015724
101,WT,MG1_C1_save-2025.10.02-12.14.40.128,11,329.10471113901264,59.431893484933,1281.7382812499989,0.8524716715686307
102,WT,MG1_C1_save-2025.10.02-12.14.40.128,12,232.37271368449834,286.56709174230696,1234.5314025878888,0.8389287671021863
103,WT,MG1_C1_save-2025.10.02-12.14.40.128,13,78.07926893556,204.40349295715237,1177.7877807617178,0.8380759409395699
104,WT,MG1_C1_save-2025.10.02-12.14.40.128,14,217.2062971137958,347.63245107909927,1154.4227600097656,0.846695111602411
105,WT,MG1_C1_save-2025.10.02-12.14.40.128,15,187.05676910943305,367.52460328747736,1152.515411376949,0.8892339244675467
106,WT,MG1_C1_save-2025.10.02-12.14.40.128,16,103.95258284335068,147.742649127105,1094.8181152343736,0.6261897810208904
107,WT,MG1_C1_save-2025.10.02-12.14.40.128,17,379.5149995898947,437.3567836491139,968.9331054687484,0.871508562483826
108,WT,MG1_C1_save-2025.10.02-12.14.40.128,18,120.04842823559379,113.86678942004811,857.8300476074219,0.8566074262619654
109,WT,MG1_C1_save-2025.10.02-12.14.40.128,19,343.89030749141364,400.3179557813391,833.0345153808594,0.8672540578228259
110,WT,MG1_C1_save-2025.10.02-12.14.40.128,20,249.1731022509577,322.7969348659002,746.7269897460938,0.8332402992681373
111,WT,MG1_C1_save-2025.10.02-12.14.40.128,21,379.91455461219437,279.5271694967494,709.0568542480438,0.8371039547666008
112,WT,MG1_C1_save-2025.10.02-12.14.40.128,22,186.60248621532503,322.0138237551157,699.0432739257797,0.8224122926777754
113,WT,MG1_C1_save-2025.10.02-12.14.40.128,23,251.3170713429255,67.81324940047958,662.8036499023433,0.8484248708131193
114,WT,MG1_C1_save-2025.10.02-12.14.40.128,24,316.37811258072503,191.41304179085924,639.9154663085927,0.7839528445153348
115,WT,MG1_C1_save-2025.10.02-12.14.40.128,25,256.16557267884303,378.1194507864026,626.564025878905,0.8127479251590899
116,WT,MG1_C1_save-2025.10.02-12.14.40.128,26,31.42296483150468,73.19754318508355,608.4442138671869,0.8274636547973477
117,WT,MG1_C1_save-2025.10.02-12.14.40.128,27,83.65885416666659,462.3655913978491,532.1502685546859,0.7677953905351864
118,WT,MG1_C1_save-2025.10.02-12.14.40.128,28,423.95189717997437,328.94437183143197,501.6326904296875,0.7310619490251842
